symbol	old_symbol
ADARB1	hRED1
ADARB1	ADAR2a-L1
ADARB1	ADAR2a-L2
ADARB1	ADAR2a-L3
ADARB1	ADAR2a
ADARB1	ADAR2b
ADARB1	ADAR2c
ADARB1	ADAR2d
ADARB2	RED2
ADARB2	hRED2
ADARB2	ADAR3
ADARB2-AS1	bA466B20.1
ADARB2-AS1	C10orf109
ADARB2-AS1	NCRNA00168
ADAT1	
ADAT2	dJ20N2.1
ADAT2	TAD2
ADAT2	DEADC1
ADAT3	TAD3
ADCK1	FLJ39600
ADCK2	MGC20727
ADCK5	FLJ35454
ADCP1	
ADCY1	AC1
ADCY1	DFNB44
ADCY10	SAC
ADCY10	Sacy
ADCY10	SACI
ADCY10	HCA2
ADCY10	RP1-313L4.2
ADCY10P1	
ADCY2	HBAC2
ADCY2	KIAA1060
ADCY2	AC2
ADCY3	AC3
ADCY4	AC4
ADCY5	AC5
ADCY6	AC6
ADCY6-DT	
ADCY7	KIAA0037
ADCY7	AC7
ADCY8	HBAC1
ADCY8	AC8
ADCY8	ADCY3
ADCY9	AC9
ADCYAP1	PACAP
ADCYAP1R1	PAC1
ADCYAP1R1	PACAPR
ADCYAP1R1	PAC1R
ADD1	
ADD2	ADDB
ADD3	ADDL
ADD3-AS1	
ADGB	FLJ23121
ADGB	dJ408K24.1
ADGB	CAPN16
ADGB	C6orf103
ADGRA1	KIAA1828
ADGRA1	GPR123
ADGRA1-AS1	GPR123-AS1
ADGRA2	TEM5
ADGRA2	DKFZp434C211
ADGRA2	DKFZp434J0911
ADGRA2	KIAA1531
ADGRA2	FLJ14390
ADGRA2	GPR124
ADGRA3	FLJ38547
ADGRA3	PGR21
ADGRA3	GPR125
ADGRB1	BAI1
ADGRB2	BAI2
ADGRB3	KIAA0550
ADGRB3	BAI3
ADGRD1	DKFZp434B1272
ADGRD1	PGR25
ADGRD1	GPR133
ADGRD1-AS1	LACAT8
ADGRD2	PGR24
ADGRD2	GPR144
ADGRE1	TM7LN3
ADGRE1	EMR1
ADGRE2	CD312
ADGRE2	EMR2
ADGRE3	EMR3
ADGRE4P	PGR16
ADGRE4P	GPR127
ADGRE4P	EMR4
ADGRE4P	EMR4P
ADGRE5	TM7LN1
ADGRE5	CD97
ADGRF1	hGPCR36
ADGRF1	PGR19
ADGRF1	GPR110
ADGRF2	hGPCR35
ADGRF2	PGR20
ADGRF2	GPR111
ADGRF3	hGPCR37
ADGRF3	PGR23
ADGRF3	GPR113
ADGRF4	FLJ38076
ADGRF4	PGR18
ADGRF4	GPR115
ADGRF5	DKFZp564O1923
ADGRF5	KIAA0758
ADGRF5	GPR116
ADGRF5-AS1	
ADGRF5P1	GPR116P1
ADGRF5P2	GPR116P2
ADGRG1	TM7LN4
ADGRG1	TM7XN1
ADGRG1	GPR56
ADGRG2	HE6
ADGRG2	TM7LN2
ADGRG2	EDDM6
ADGRG2	GPR64
ADGRG3	Pb99
ADGRG3	PGR26
ADGRG3	GPR97
ADGRG4	RP1-299I16
ADGRG4	PGR17
ADGRG4	GPR112
ADGRG5	PGR27
ADGRG5	GPR114
ADGRG6	FLJ14937
ADGRG6	GPR126
ADGRG7	FLJ14454
ADGRG7	GPR128
ADGRL1	KIAA0821
ADGRL1	CIRL1
ADGRL1	LEC2
ADGRL1	LPHN1
ADGRL1-AS1	
ADGRL2	KIAA0786
ADGRL2	LEC1
ADGRL2	LPHH1
ADGRL2	LPHN2
ADGRL3	KIAA0768
ADGRL3	LEC3
